well_id,n,anchor_rmse,pf_rmse,best_cand
5693dde2,3488,6.95783505375875,4.581812595061808,0
56b00794,6065,29.944728017238926,7.303703301494475,2
57796579,5890,12.813078334954168,5.343645439386878,0
577eec7c,4539,18.875287599886814,10.028352402746092,2
57f05c51,4771,36.3244551404309,27.78075794386558,0
58850d2c,4995,14.887955622671049,8.117670414721342,0
58fa8486,4475,11.865701003853058,5.164176072932825,0
591cc951,4609,15.021994805073081,8.429706822476804,0
593876b6,4842,12.278386863654298,1.1888584454144016,0
59f8b2e8,3747,6.235385931133263,4.57037119524408,0
5a1a8fd8,5260,13.165282167987698,1.9903452852247738,0
5a5269a9,6513,5.863105043604518,8.036532905396571,2
5a5d1982,3894,7.106652935637849,2.317912967837753,1
5a63b5d1,6217,19.44924550712061,5.9920534385699975,0
5aa03df7,4871,6.58601427636249,5.236782544602373,1
5aa403d0,3118,25.684478606280763,20.365190891880758,2
5aef5c6c,3121,10.926258823623487,11.144623837844174,0
5b7b6324,6564,17.673226229685234,5.432374007647313,2
5bd25f59,4210,4.338412715856817,5.949003563272396,0
5beded95,3057,16.64432832796459,3.137783656115499,0
5cb483ac,3852,6.114075023717169,4.994109510076885,1
5cdd8dbc,4010,17.231660513857207,2.092197049378341,2
5d11dfb5,5895,9.758377072411292,7.220625169778453,2
5d7198fd,3368,13.36645546990557,2.26607160236988,1
5def1ce5,6443,8.052417616706911,7.1866675384956,0
5eae34a8,4904,7.397484649492449,2.1464530255875856,0
5f4d2a52,5225,56.914917258531396,43.68550546389058,1
5f6756c5,5931,8.573813859683462,6.6258735752727285,0
5f75f796,5562,9.239915906257119,15.113037641720027,2
5fb1c15f,2860,18.291082508578185,1.5909460378975604,2
5fffa282,4201,5.318148657346763,12.359121143722582,1
60e37807,2699,20.874268055180604,7.349103324973153,0
61f27424,6220,2.8150009994687166,7.466731610378165,1
62569ae3,3588,8.163464251076302,6.128300231660029,1
62a6f539,3693,7.864940463331049,3.718534632451124,2
633774dc,6233,14.212429924790966,7.463959976808261,2
63559d57,4069,5.894220519880757,6.398019539580595,1
647f2a41,3881,6.546227092935274,3.8202899476407652,1
65156b96,3221,6.076781706471203,5.816115982119353,2
653612bc,4605,2.8332405605306503,3.256993720591642,1
656a067b,3051,14.667037832749068,5.720745699458062,0
65a5466a,4683,11.991020361693243,11.78189234921511,2
660d9546,4732,9.433757519583331,3.2238135832555814,0
