well_id,fold,n_rows,hidden_length,known_length,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_diff,final_delta_z_from_ps,mean_abs_dz_step,std_dz_step,mean_abs_dxdy_step,curvature_proxy,azimuth_range,vertical_shape,curvature_shape,trajectory_shape,anchor_dominant,lgbm_kills,anchor_blown
d463e527,0,4767,4767,2224,8.025174307678101,6.823071478809701,-1.5687079224838327,14.81332340256922,8.591154291112087,6.9456702328507784,-3.068963708830092,16.246999999999385,0.5659799834339854,159.1899999999987,0.03497272345782633,0.026313321428249943,0.9991114691535311,0.005091198488937143,0.19129009706553135,upward,smooth,upward_smooth,True,False,False
d4f60a28,4,4501,4501,1934,5.581802860033249,5.085653980752899,-1.4582485707442725,8.90664904409823,6.183126130423007,4.873157076205165,2.971441901799024,12.649999999999636,0.6013232703897584,-153.46999999999935,0.034182222222222156,0.020809383448487227,0.9992181830005135,0.0055585817604884005,0.1357251636009883,downward,curved,downward_curved,True,False,False
25939962,2,4319,4319,1752,10.492795242005604,9.12239671679794,-5.831860776283883,18.516276833781376,11.099661933822553,9.734102801574442,-4.172945126186627,17.030000000000655,0.6068666918169487,136.46999999999935,0.03548865215377569,0.02757605199024055,0.9991355522145206,0.005439529151030158,0.2061053211805075,upward,smooth,upward_smooth,True,False,False
19fb4f7b,1,5620,5620,2303,10.482032070235118,8.84758257948251,5.513448372842176,19.92420881556427,11.089880426882702,9.225731316725843,4.242617437721659,22.590000000000146,0.607848356647585,217.89999999999964,0.0387702438156253,0.012365686185280672,0.9991880659425306,0.00567823001269093,0.16601555456707384,upward,curved,upward_curved,True,False,False
fcfcc902,2,2791,2791,1874,8.19624991708993,7.626415900012522,7.577861202748925,14.1061099890876,8.80765155445474,8.352662128269177,8.300408455750343,14.229999999999563,0.6114016373648106,-47.54999999999927,0.01805734767025061,0.013302998598583192,0.9997833369907563,0.005425621634727593,0.13941742809080804,flat,smooth,flat_smooth,True,False,False
944f36b9,4,4630,4630,1405,5.89974178363829,4.966209756606506,-0.44041218793287795,10.384267946847103,6.513075857645095,5.763492440605536,-5.711989200864775,10.520000000002256,0.6133340740068052,-189.3099999999995,0.04090300280838158,0.01938347589378221,0.9989929239325981,0.0054498500608693426,0.13997109970547417,downward,smooth,downward_smooth,True,False,False
46d41ff6,0,7901,7901,1325,6.538676021996763,5.292627803944433,0.531270941147574,11.653709413038086,7.152719312990992,5.903402100999892,-3.1086571320086,14.969999999999345,0.6140432909942284,-266.2000000000007,0.0342430379746836,0.02005630897155273,0.9992464538530492,0.005615341571101953,0.21061167094860478,downward,curved,downward_curved,True,False,False
2ab29395,1,1852,1852,1473,1.8408070828955085,1.4774697071995313,-0.7241117550086864,3.729954533290947,2.45945596628769,1.981587473002184,1.8494168466522947,5.014499999999496,0.6186488833921815,-48.67999999999847,0.026283090221501694,0.007020370942480324,0.9996453977528961,0.005397195734066773,0.13428392285275081,flat,smooth,flat_smooth,True,False,False
19871e7f,3,5293,5293,1859,4.726197040989386,3.8145377795872095,-2.9144375050308224,10.096117208858413,5.353880109906093,4.804829019459664,1.299093141885221,7.969999999999345,0.6276830689167072,176.75,0.03348072562358282,0.011847858581505956,0.9993889319747817,0.0054744848509445925,0.22029232108707797,upward,smooth,upward_smooth,True,False,False
da940160,0,5132,5132,1660,10.56185393429687,9.007450669067312,-8.984875456207197,18.18962275607373,11.224828130654686,9.87100545596225,-9.87100545596225,18.69999999999891,0.6629741963578155,112.01000000000022,0.02289027480023366,0.014166843690489098,0.999676725272927,0.005198689682312667,0.37293076457984675,flat,smooth,flat_smooth,True,False,False
8902c3f6,3,4959,4959,1574,8.167681950640322,6.719625828428215,5.348175151483265,13.263503640567796,8.832044207317482,7.029538213349183,-6.545843920144742,17.47099999999936,0.6643622566771601,-136.90999999999985,0.028727309398950882,0.019984796878592715,0.9994359708572408,0.004916059511490588,0.14178462554839277,downward,smooth,downward_smooth,True,False,False
d1ecf309,0,6168,6168,1696,8.695098047302578,7.597046359364356,-2.0969354257314925,16.339558179735832,9.37828460834895,8.209158560311055,-4.3632376783390905,18.169999999998254,0.683186561046373,186.42000000000007,0.03022052862007472,0.012457809981062001,0.9994817153588879,0.00516246539552327,0.272506126446703,upward,smooth,upward_smooth,True,False,False
cdc31d65,4,4840,4840,1768,6.783126502995603,4.621867890410437,-2.7362133601157037,14.43743334971805,7.482412321764383,5.325014462809823,-4.054816115702333,15.810500000001232,0.6992858187687805,-123.8700000000008,0.02892539780946463,0.021792434932165726,0.9994522046726969,0.005469720734840455,0.2413734952861566,flat,smooth,flat_smooth,True,False,False
9298ad5b,0,3964,3964,1843,12.390448695257911,9.703226130847057,-6.494612499728292,27.358717727655222,13.089984763550598,10.30393541876879,-7.790575176589098,28.79849999999924,0.6995360682926872,117.10999999999876,0.0298132727731511,0.01729048867510078,0.9994302322458058,0.00529659455641117,0.1863811031311191,flat,smooth,flat_smooth,True,False,False
374be387,2,9965,9965,1837,6.010120655983738,4.825153959530166,2.630686354783511,11.052934910903787,6.712762639770746,5.536931259407918,2.0880120421472945,11.700000000000728,0.7026419837870082,253.92000000000007,0.02631372942593396,0.01649050561635109,0.9995558447882217,0.00535994352514789,0.18402976856693076,upward,smooth,upward_smooth,True,False,False
a0e92ed6,3,4897,4897,1549,7.403026965183121,5.614309475592207,0.13454023980996968,17.621684974081283,8.114542367589692,6.195658566469325,1.057614866244044,18.887999999999366,0.7115154024065715,177.54999999999927,0.036415441176470394,0.016161933409696665,0.9992280193484508,0.004887121972903959,0.13109505031953006,upward,smooth,upward_smooth,True,False,False
0498acab,0,4798,4798,1634,5.280780621186064,4.277177104739527,-0.5010297849739505,10.541886799513483,5.996139045372776,4.847002917882889,-2.889470612756329,13.253000000000059,0.7153584241867117,-137.14999999999964,0.031167396289347175,0.023302699914142553,0.9993363318643173,0.0055012852833505755,0.20705614267159933,downward,curved,downward_curved,True,False,False
4121c517,0,3723,3723,1748,10.5051465989021,9.250555650449316,-6.898029602646597,18.719922854861213,11.223238561279205,9.898071447757188,-7.766881547139409,19.918000000000205,0.7180919623771054,145.70000000000073,0.039459967759269424,0.022860530627525893,0.9989873103890404,0.0057193444484211625,0.09478553854473937,upward,curved,upward_curved,True,False,False
b7cdcecb,2,6168,6168,1452,8.555660975011575,5.978796757392808,-3.5744544995930974,20.920785264178075,9.274351431311539,7.3355107003894275,-7.3355107003894275,22.093000000000842,0.7186904562999636,-277.3000000000011,0.04495378628182253,0.018559970023837212,0.9988322348212783,0.005483381039227552,0.12062366881514586,downward,smooth,downward_smooth,True,False,False
5a5269a9,1,6513,6513,1540,5.142917158596846,4.139192688024067,0.03699246486326113,9.98965410892015,5.863105043604518,5.076396437893407,-0.6862413634263369,10.400000000001455,0.7201878850076726,-315.8299999999999,0.048493550368550506,0.02361755625199534,0.9985586757655688,0.00553588521584281,0.21659165217929122,downward,curved,downward_curved,True,False,False
c2c4db09,1,6039,6039,1812,8.270705674306303,6.573134388894487,4.562228314427323,16.29762733129828,9.028322821306517,7.232967378705152,-3.2250223546946284,15.6200000000008,0.7576171470002144,-324.15999999999985,0.05367671414375627,0.01862522831660351,0.9984010390942818,0.005373172878167297,0.17534902631716265,downward,smooth,downward_smooth,True,False,False
7ff89f8f,0,7337,7337,2202,13.391937413162502,11.046491561195607,-7.061158016771706,23.86080184357197,14.155555516103233,11.48404525010244,-8.27030939075982,25.122000000000842,0.7636181029407307,185.82999999999993,0.025684296619410886,0.011921538011599113,0.999625145740419,0.00532586304083541,0.14914330489288163,upward,smooth,upward_smooth,True,False,False
fba7683c,1,407,407,1651,1.765701081889949,1.5622455152204195,-0.014721940733508177,2.8071569473415363,2.555309739035002,2.072039312039204,1.1741523341520774,4.0899999999983265,0.7896086571450529,2.0,0.03354679802955414,0.0378597308184556,0.9992801376863493,0.0054309781831532525,0.1614254914015969,flat,smooth,flat_smooth,True,False,False
e25f1537,2,3177,3177,1841,12.213285889112822,11.171750322832759,-0.8923632334593864,16.60558622421631,13.005049007414012,10.64668870003149,3.913657538558548,21.909999999999854,0.7917631183011906,174.0,0.05476700251889185,0.014533332462870125,0.998408066232056,0.005205735604623522,0.22772512974824455,upward,smooth,upward_smooth,True,False,False
25fd32b3,2,2885,2885,1661,2.38273863520885,2.0895294664675523,-1.5455196367050215,3.750771964860178,3.1781649872704114,2.9289497400351503,-2.9131646447145587,5.098000000000681,0.7954263520615612,-47.75,0.016712898751733325,0.012444088185346805,0.9998020684567115,0.005401186757293329,0.22874472610637397,flat,smooth,flat_smooth,True,False,False
