well_id,n,anchor_rmse,pf_rmse,best_cand
373ef48b,3509,5.207191387759596,2.8992193930077628,2
374be387,9965,6.712762639770746,3.859849653732526,0
37d36812,4367,21.856313079076383,11.83232640472562,0
38991fd4,4798,14.86604108751415,10.784299801014429,0
389ae58f,6463,49.76304894845995,7.470943435891257,0
3932faa6,5452,13.157974615537267,3.3473146366742585,1
398dce4b,3166,4.559718484677409,3.6781926434193544,0
39b51819,4231,3.160351282946552,6.037328188365439,0
3a0af893,2927,18.6897660134781,7.759880197303947,0
3a223519,4583,9.401162306681243,6.1146240712405655,0
3a7dd95d,3072,13.010388611275376,5.416925009565552,0
3a824aa7,4201,5.690131490731758,2.568213994426206,0
3a86fe8d,5118,11.634711217695367,5.452207267861682,0
3aaa2b30,4711,17.520232328990414,7.4688883187175845,0
3ac16ad0,5649,8.880546118495223,6.996159932759416,0
3b21ea64,7376,8.368949948322665,7.583276834523948,1
3bbe1f5d,6918,10.572803005133604,3.5894818745730936,0
3bfee975,3603,7.840543276658913,5.953143338444227,0
3c3dbcbc,5069,8.29349171896155,4.7202693905725495,2
3d96d897,5659,3.6092906343486293,3.054159944964465,0
3df4b19e,4988,8.67249047497302,11.002375429698713,0
3e011332,2723,17.42146062278745,23.617948553069727,0
3e678ea7,6858,10.229911981746914,8.744178242046718,0
3ef6372a,4727,6.229379944022544,2.9240324001680666,0
3ef98781,3892,12.433878700657393,5.587728342946869,0
3f603129,5051,29.712176284154232,2.7782100407105075,0
404c4384,911,3.6011694039210935,1.1100850112901843,0
4121c517,3723,11.223238561279205,7.400084935485192,1
41fb0192,2973,3.5577103110362645,6.860806420064966,0
42669188,4282,23.030677799344762,3.1467238271219715,1
42c538a1,3279,26.18883109705342,0.7763452333736264,0
43b06c70,4846,8.769342298126745,11.327741473049398,1
43c7f85a,5978,11.180370167514397,3.519315989555388,0
43e16325,3720,45.776662453735184,3.822037622559878,0
44441e54,4357,3.668929750345109,1.4079679509168803,0
445af6c2,6041,29.954468486977532,14.583278392295782,2
4463446c,3256,18.86029305975226,6.251173458940709,0
44a94013,4903,23.26260921867206,9.358848490839565,0
45fb3e21,3649,25.15963005414619,6.406798712362727,0
460f859e,3336,20.01206991533264,3.412135826826019,0
