well_id,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor,mae_improvement_vs_anchor,fold,hidden_length,known_length,final_delta_z_from_ps,trajectory_shape,vertical_shape,curvature_shape
49dbc14c,3872,1,5.491379820939072,4.769516164129409,3.865160940300494,8.978814283531571,5.472416193779096,4.961157024793553,4.000211776859731,7.8400000000001455,-0.018963627159975793,0.19164086066414399,0,3872,1326,-118.77999999999884,flat_curved,flat,curved
4a035ec2,2588,1,13.91534461509917,11.09284600425475,10.403231855888796,23.667574523530494,18.37817503927824,15.167812982998688,15.167812982998688,26.8965000000002,4.462830424179069,4.074966978743939,3,2588,1934,-82.11999999999898,flat_smooth,flat,smooth
4a335117,5015,1,18.65650727906486,16.448423916261152,-16.407198356577197,30.696342508978706,25.01473417971471,22.49027118644141,-22.49027118644141,38.090000000000146,6.35822690064985,6.041847270180259,2,5015,1712,-214.6800000000003,downward_smooth,downward,smooth
4a8ecc0b,5809,1,8.514314163021032,6.541589884662632,1.1788358072777945,16.439973601139354,11.211904800768597,9.65338612497878,-3.790218626270524,21.136000000001143,2.697590637747565,3.1117962403161483,1,5809,1565,156.25,upward_smooth,upward,smooth
4b462989,3106,1,23.24557102729288,21.854747866203674,21.854747866203674,34.44397808376925,6.605024585467642,5.420083708950559,3.611584030908221,11.840000000000146,-16.640546441825236,-16.434664157253117,4,3106,1632,173.41000000000167,upward_smooth,upward,smooth
4b831d20,7312,1,6.985561140964192,5.705681590964144,5.537702370245218,13.101997962856874,16.40332593479727,13.265391137855495,13.265391137855495,30.01000000000022,9.417764793833078,7.5597095468913516,3,7312,2121,294.59000000000015,upward_smooth,upward,smooth
4c2208f5,5384,1,15.882586645419671,12.69560276601859,-10.228579188716138,26.05867123335991,37.38188510729996,35.38692421991142,-35.38692421991142,49.48999999999978,21.499298461880286,22.691321453892833,2,5384,1864,44.30000000000109,flat_curved,flat,curved
4c3168cf,4334,1,3.9327749138273442,3.223838220034216,-2.2486174639438627,7.870169240614246,4.398564145674671,3.695394554684543,-3.2137148131066073,9.063500000001381,0.4657892318473267,0.4715563346503271,2,4334,1625,124.80999999999949,flat_smooth,flat,smooth
4c3df468,5392,1,18.66833984790526,16.47581003267841,-16.45792440135639,28.800803112525223,20.730613836474724,18.76659866468697,-18.76659866468697,35.2144999999984,2.0622739885694656,2.29078863200856,4,5392,1511,-284.77999999999884,downward_smooth,downward,smooth
4caa7289,5396,1,5.475244190423269,5.154181875940437,-0.09660331642123268,7.693206836999707,9.679853283039389,7.443967753891618,-6.966551148999061,16.502500000000055,4.20460909261612,2.2897858779511813,2,5396,1458,157.42000000000007,upward_smooth,upward,smooth
4cd1ac61,4489,1,11.542886389475724,11.16323660295677,-11.157993726331382,15.060806324982332,14.744577751415134,14.524092225440919,-14.524092225440919,16.30000000000109,3.2016913619394103,3.3608556224841486,2,4489,2220,220.73000000000138,upward_curved,upward,curved
4cecf7b3,6019,1,9.899494778231718,8.230944889744281,5.068611245957462,18.974228206085343,8.796914734080126,7.490684499086172,2.6952832696458406,16.26000000000022,-1.1025800441515923,-0.7402603906581087,0,6019,1657,205.03000000000065,upward_curved,upward,curved
4ddde4c1,4472,1,6.771464856834544,5.676962423943604,5.267035654015749,12.179121662533541,4.584881244279585,3.8113841681570455,2.952828711985101,8.594500000000242,-2.1865836125549585,-1.8655782557865588,4,4472,1945,156.75,upward_smooth,upward,smooth
4e050c92,3705,1,6.426360074494641,4.536378377665189,2.2925978694018356,13.889520520583021,6.760683545123174,4.699427800269788,4.123616734142836,14.907999999999808,0.33432347062853296,0.16304942260459931,4,3705,1531,-106.07999999999993,flat_smooth,flat,smooth
4ed93db6,4657,1,5.6458314022609235,4.922363210185645,4.711579936030732,8.616417245478441,9.134304566059011,7.678866222890737,7.630581919691303,13.5,3.488473163798088,2.7565030127050925,1,4657,1839,127.35000000000036,flat_smooth,flat,smooth
4f3eb9e9,4697,1,31.60337889635443,23.399104101522646,-22.084221142881123,53.128386260947806,33.07892812639342,25.06252288694947,-22.983434106877674,53.17000000000007,1.4755492300389896,1.663418785426824,2,4697,1214,99.27999999999884,flat_smooth,flat,smooth
4f4ac5ce,5162,1,10.983250938193544,8.368255190358095,-8.301459258724497,21.623787030567108,8.250612102027123,7.186414180550179,-2.6744769469196576,12.959499999999114,-2.732638836166421,-1.1818410098079157,4,5162,1737,144.09000000000015,upward_smooth,upward,smooth
