bias60,bias70,bias80,well_id,c_oracle,known_n,bias_mean
1067.4601642829068,19.435726742550926,-6.042852866350101,204cc64b,-3.0,1649,360.2843460530359
17.93301422221692,160.19522336107647,50.98258372387213,206b6193,-24.0,2033,76.37027376905517
829.1420830167392,845.7310486956576,321.7910559292516,2075c696,2.5,2392,665.5547292138828
1544.2157273411979,28.827685728024854,171.20950207494124,22c5f93f,-9.5,1747,581.417638381388
835.0160030729786,113.38459321145484,57.404144357868105,230eaaa3,8.0,1761,335.2682468807672
672.9675786663067,-52.58258328286249,57.25620121466233,2364716c,5.5,1777,225.88039886603553
16.496479334672458,90.57436926807488,-20.890539247004575,23b9beb0,2.0,1450,28.726769785247587
337.9659874849951,32.99167563217552,45.7103110818832,24d8997e,-2.5,1746,138.88932473301796
325.47126481598127,17.098385183500227,65.82810831306905,25050f63,7.0,1031,136.1325861041835
741.7776215427766,86.4395279896879,-7.249301244750458,25939962,3.5,1752,273.65594942923804
161.02509774420778,-1.3196994057899922,46.93530227424441,25fd32b3,4.5,1661,68.88023353755406
1114.9576204605194,-2.7372142969990625,-10.655249261950269,261785ee,-11.0,1866,367.1883856338566
971.5374245791393,-0.8303333568166174,-8.06061699393464,264feceb,-6.0,1743,320.8821580761293
3316.937280290527,-196.2342117817816,16.838144507139795,26623a50,-11.5,1744,1045.847071005295
12642.332872594254,-66.29063981347885,-1.6074447683966298,26d3a96a,5.5,1744,4191.478262670793
168.21284667277598,42.170705286347726,-37.75059507964474,272abef3,-11.0,1547,57.54431895982632
562.8109025202139,39.50018547478035,-46.96374314326501,27300fd5,20.5,1919,185.11578161724307
43.49829468672994,2142.2290245898653,-50.014258457653526,276b012a,6.5,1454,711.904353606314
1281.7876137710887,79.15192568378434,-9.56688237130822,27c3155b,-30.0,1983,450.45755236118833
778.9276868954965,-95.18857878950679,55.013652446772504,27ebb9b9,-1.5,1885,246.2509201842541
1759.6227188765452,66.52379659620594,-18.96469658845374,283269ac,0.5,1941,602.3939396280991
169.2431457817929,670.0664957490817,-8.374723567994735,28473855,-3.0,2330,276.97830598762664
148.79857287941917,75.17040597934397,268.7590561764247,28f4eda9,4.5,1558,164.24267834506261
720.2426824523121,-181.0933183605711,16.45800744206869,29b24409,7.0,1830,185.2024571779366
426.02431710045926,36.59638008734346,9.843879493584101,29de15c8,-7.5,1733,157.48819222712893
238.30270840031537,44.30063289069029,-16.324653883900087,2ab29395,0.5,1473,88.75956246903519
-13.23239936328232,56.34299064596042,3.806244610284443,2ac7cb6b,-9.0,1461,15.638945297654182
-192.8515445386515,12.071921207081292,14.427607509941488,2acc78d4,5.5,1843,-55.45067194054291
765.181713919236,38.65449251794466,-6.4909488809188565,2b034622,-9.0,1558,265.78175251875393
-79.26821507555519,181.95958142478875,-13.701424682384284,2b06ad65,-1.0,1450,29.66331388894976
857.647851245905,-9.207393884240174,-9.613397996709718,2b547943,13.5,1651,279.60901978831834
1161.5351979078273,83.99051723307711,6.111140562382515,2be5c96a,-11.5,1543,417.212285234429
551.6317137350542,444.90690081743276,133.82204797167606,2bff06cf,24.5,1550,376.78688750805435
671.7969203567019,19.485617011328703,-23.815947642882815,2c0c4a4e,-3.5,1929,222.4888632417159
262.5255568763363,-68.82421960810902,62.564491612462234,2cee0cba,2.0,1835,85.42194296022983
14.072737070578686,15.792798180191522,-41.28601898151719,2d0c268a,-3.5,1739,-3.8068279102489933
723.0396000162513,-0.8523123105535017,67.48499644296265,2d179ded,-3.0,2217,263.2240947162201
-237.61634072266204,-81.52177073089591,-70.31214359728129,2d196986,-7.0,1842,-129.8167516836131
556.7903386970778,71.98401815756623,-72.0082323937654,2d2d0c6b,1.5,1922,185.5887081536262
119.19707640397678,88.37025556875119,-32.289840738955235,2d35f86d,8.0,1732,58.42583041125758
-332.9997916654245,-26.34628995446468,17.7034860766733,2d9f6cb9,7.0,1289,-113.88086518107195
299.2770816275057,21.9120554529392,14.659730637233617,2ddad940,-9.5,1481,111.9496225725595
-1790.4129573763419,-52.46668652632324,-41.929967282161556,2e29e833,8.0,1826,-628.2698703949422
747.6170698314507,5.344495958868492,-80.5078219872335,2e43c2ea,4.5,1651,224.15124793436192
2069.1839666699907,129.99890912376583,36.6324011327192,2e63d9de,-9.0,1806,745.2717589754919
53.64499227431334,39.715093009138975,-12.136228713599683,2ee0235b,-1.5,1700,27.074618856617548
105.77187427413065,20.680406244994078,-22.99458346769195,2f19d536,-2.0,1656,34.485899017144256
108.13441812894908,-35.38029078610225,-2.3166417479890273,2f8e53c3,9.5,1539,23.4791618649526
149.19174931899164,59.62936265868697,-0.029865506027199014,2fa01aa6,-14.5,1686,69.59708215721714
700.7010060656597,-37.84339876993567,0.0379154078556971,2fd68f7b,30.0,1651,220.9651742345266
1218.2650164421932,-141.26114083340744,-55.60761012118691,2fe023be,9.5,1839,340.46542182919967
366.0346130674583,66.10562364302533,-5.743332111993073,30d75030,-2.5,1605,142.13230153283016
1217.7494806837374,-236.02323840388476,-241.71327118880657,310c71a5,3.5,1743,246.670990363682
493.5018910187828,-16.789253974787776,50.249905532095454,32fe84c9,-13.0,1755,175.65418085869683
1357.99759942257,0.508003672550647,22.174398856175205,33c40295,9.0,1820,460.2266673170986
572.2708670497917,-87.88667121082372,29.58489552168957,3407f5bf,-8.5,1671,171.32303045355252
