well_id,n,anchor_rmse,viterbi_rmse
2e29e833,5428,4.3076518266215045,4.693106533146783
2e43c2ea,5698,7.487396669090343,3.694904576781653
2e63d9de,4699,13.77390817425645,11.436164486457484
2ee0235b,5556,6.80295371229703,5.719174355584285
2f19d536,3088,6.535598394413745,24.317243418224148
2f8e53c3,2594,3.293055138227308,5.28159568756762
2fa01aa6,2174,18.77741961251621,7.327458829490913
2fd68f7b,4730,60.74015262396321,40.90553012102517
2fe023be,4221,12.90931147808348,11.173146267387194
30d75030,3404,17.599318669377997,14.693359292059235
310c71a5,5245,8.843313479056066,4.702837992732945
32fe84c9,6408,22.250821979444407,7.335693532983968
33c40295,4169,8.700789781165115,6.543825424576124
3407f5bf,3638,21.29388267466182,16.07583013621484
3417285d,5449,34.42198868150785,33.31540166125824
347242c8,3595,2.242023016039388,7.803145270063413
353e5502,6062,5.639360585146688,8.627700614786193
357c12f9,4079,5.624420852755269,5.656967239832598
3584a6eb,4494,9.108318362664079,4.747262029156842
35b30c7f,9579,19.15158789297762,26.080735408992577
35b3ef6a,3904,26.045383636758544,10.607178669121444
367456ce,5569,12.622377103894497,10.883330783301911
368131f9,4991,20.875783169531438,37.08272542984867
368fe682,4936,13.878502686940966,15.8429598415098
3690a146,4073,7.130156510792888,5.527617958898091
37344c2a,5197,13.239300394199656,13.760156235828672
373ef48b,3509,5.207191387759596,5.505865187929359
374be387,9965,6.712762639770746,14.257510661258506
37d36812,4367,21.856313079076383,31.616038524542915
38991fd4,4798,14.86604108751415,18.199771046706747
389ae58f,6463,49.76304894845995,70.20125685359868
3932faa6,5452,13.157974615537267,6.571437083684639
398dce4b,3166,4.559718484677409,2.497553408017629
39b51819,4231,3.160351282946552,2.2287313736311343
3a0af893,2927,18.6897660134781,9.46567106073342
3a223519,4583,9.401162306681243,5.172205611541866
3a7dd95d,3072,13.010388611275376,20.663938233715733
3a824aa7,4201,5.690131490731758,16.723282132821865
