well_id,fold,n_rows,rmse_e8,mae_e8,rmse_e9b,mae_e9b,d_rmse,d_mae,tw_known_gr_corr,n_known_gr,tw_group_size,shares_typewell
cad13e8f,0,4848,8.072851980638719,7.1798576146792605,5.808529228970843,5.280777386075915,-2.2643227516678754,-1.8990802286033457,0.8681555394880144,1962,1,False
cb34231f,3,5609,5.733581181208326,5.171508825404375,7.677798299435491,6.8858899303556065,1.944217118227165,1.7143811049512312,0.8434114564379849,1838,1,False
cb879f40,0,6315,7.475882856471582,5.9842737614738155,6.646256021618931,5.427856965304336,-0.8296268348526512,-0.5564167961694793,0.9040798081667527,1200,1,False
cbb406b5,1,6328,12.160822686519602,10.631324337341846,12.176085500100259,10.744783183422584,0.015262813580656953,0.11345884608073753,0.71857795272019,1068,1,False
cbe51de1,2,3963,8.620167410566156,6.47989939524058,7.489375019655705,5.7156769627432995,-1.1307923909104503,-0.7642224324972808,0.7960254038601093,1223,1,False
cbe62450,1,6258,17.380085073827054,15.197991881980474,14.158400718236331,12.740166110767348,-3.221684355590723,-2.457825771213127,0.7504714564118763,1416,2,True
cc08aa63,3,3274,9.167918383746542,7.9826370308317225,12.280283460045457,10.64828738966555,3.1123650762989143,2.665650358833827,0.7746195096871519,1253,1,False
cc8a1d57,4,6638,14.348278320343079,12.131101892718169,14.789852423608112,11.907018122587683,0.4415741032650331,-0.22408377013048586,0.7063982960733052,1521,1,False
ccedb12b,0,4401,8.080129145850277,6.202735902105837,10.140421030057254,7.664069118457172,2.0602918842069773,1.4613332163513348,0.8040752250460086,1295,1,False
cd7f1687,2,4232,7.202165590789357,5.863011820653965,5.685504772492747,4.717326941419483,-1.51666081829661,-1.1456848792344827,0.8004315730325869,900,2,True
cda7eb37,4,5973,8.185476643067974,6.09955810654566,8.909915806422756,7.464056057110502,0.7244391633547824,1.364497950564842,0.7656293697052021,1528,1,False
cdc31d65,4,4840,5.387032450963499,3.524975070404457,5.328807904788982,3.704627177455864,-0.05822454617451722,0.17965210705140722,0.8926242151882724,998,1,False
cdc60a53,4,5878,7.327027298273593,6.124759885193326,7.200457653744612,6.005967885458437,-0.12656964452898034,-0.11879199973488852,0.9058690566585395,911,1,False
ce55ba43,4,4104,9.72337460103039,8.009264001846102,9.710747149428052,8.067288935778695,-0.012627451602337914,0.058024933932593115,0.8278746846851427,591,1,False
ce8399b7,0,1615,8.527563398749772,7.709152379306893,6.324646547752691,5.2583295402985275,-2.202916850997081,-2.4508228390083655,0.8752465602896167,1784,1,False
cf50c9d1,3,4858,19.129879917934588,17.3404005487995,15.223475116522048,13.885729343780191,-3.90640480141254,-3.4546712050193094,0.8561358663027595,1424,1,False
d00e7eb9,1,5704,19.04377695697168,18.17052469408561,11.279690643916105,10.550510732753018,-7.764086313055575,-7.620013961332592,0.8052475036669251,961,1,False
d011f41b,2,2267,11.06637318933589,10.050261942787444,9.041404180602658,8.046520288070091,-2.0249690087332315,-2.003741654717352,0.7890893512381609,1565,2,True
d07aed8f,1,2957,2.685748920917739,2.3515627670900776,11.874302744615214,11.16327872477935,9.188553823697475,8.811715957689271,0.9446287212220157,1340,1,False
d085e611,4,6191,9.107705868863436,7.473054897873539,9.638975885867662,8.533907448613101,0.5312700170042266,1.060852550739562,0.9223817563068073,941,1,False
d0a0e7b5,2,3816,8.81976098632171,7.71268149981267,6.258434328716903,5.037598686670394,-2.5613266576048064,-2.675082813142276,0.7731084294106189,1416,1,False
d0a43760,4,4041,9.05127630577904,8.48573932158695,11.139110276397316,9.248478876410076,2.0878339706182754,0.7627395548231259,0.6672478783189212,1431,1,False
d0cb63ae,4,5223,26.371289021748012,22.72028900545783,29.620118183176334,26.56380193803148,3.248829161428322,3.8435129325736526,0.9025766659114867,1255,1,False
d114d9c2,0,6206,12.725417654065138,11.029344010913228,11.071045711615183,9.40251451696114,-1.6543719424499557,-1.626829493952087,0.7890185099643487,891,1,False
d1457cc5,4,6920,8.129361066194088,6.366363144685943,9.004965860249378,7.746694055277933,0.87560479405529,1.38033091059199,0.525853073955046,1022,1,False
d1ecf309,0,6168,9.552617059312169,8.003738173381452,11.220606231962078,9.096023991042383,1.667989172649909,1.0922858176609314,0.8315076647299753,1217,1,False
